Country,Code,Year,GDP,GDP_growth,CPI,CPI_growth,unemployment_rate,annual_tests_per_thousand,cumulative_tests,annual_vaccinations_per_million,avg_workplace_closure,covid_deaths_per_million
Mozambique,MOZ,2020,14235420174.1884,-8.234117919582024,3.48393567493207,24.30627063876251,NA,8.478,8.478,NA,1.128,5.052632782
Mozambique,MOZ,2021,16168055475.4449,13.576243466004223,6.40847652975689,83.94359505164638,NA,24.796,33.274,446310.7889856,1.238,56.068913039
Mozambique,MOZ,2022,18883528581.3734,16.795298049617674,10.2794018093421,60.40320599772963,6.789,8.556,41.83,446738.887509,1.186,7.226795961
Mozambique,MOZ,2023,20954220983.5473,10.965601017049403,7.12697482131851,-30.66741670861245,NA,NA,NA,177913.57046000002,NA,0.551196301
Mozambique,MOZ,2024,22416650343.4786,6.979163582743363,4.07856834812022,-42.77279700890435,NA,NA,NA,NA,NA,0.061244034
Mauritania,MRT,2019,7894764885.82312,5.636067161553581,2.30009262117939,-25.01393215220162,10.416,NA,NA,NA,NA,NA
Mauritania,MRT,2020,8260752385.23089,4.635825191767085,2.38569488456317,3.721687665772635,NA,22.725,22.725,NA,0.831,69.73437857
Mauritania,MRT,2021,9222536364.01272,11.642813316876191,3.5651648465019,49.43926273097977,NA,32.374,55.099,387850.149772,0.762,107.26788275
Mauritania,MRT,2022,9557966698.25369,3.637072503718761,9.52526628622842,167.1760408379014,NA,161.187,216.286,446328.06279997,0.759,27.48354922
Mauritania,MRT,2023,10651709314.1644,11.443256190781078,4.95305034506869,-48.0009251580737,NA,NA,NA,1927.0060308,NA,0
Mauritania,MRT,2024,10766731873.5407,1.0798507167609843,2.49164347481971,-49.69476784542647,NA,NA,NA,NA,NA,0
Mauritius,MUS,2019,14436346979.6355,-2.0314544541327284,0.405655190309536,-87.38655471674191,6.331,NA,NA,NA,NA,NA
Mauritius,MUS,2020,11408106446.3144,-20.976501448689618,2.58080077182826,536.2055345227988,8.626,NA,NA,NA,0.628,7.836168
Mauritius,MUS,2021,11484348857.8529,0.6683178483413552,4.02852888157382,56.096081710328136,7.719,NA,NA,1597860.612075,1.238,608.0866163000001
Mauritius,MUS,2022,12907767789.5967,12.394424354067574,10.7737512242899,167.4363655072254,6.322,NA,987.58,449759.552774,0.025,199.0386622
Mauritius,MUS,2023,14101195732.6741,9.245811998874585,7.05298238454734,-34.53549986706507,5.571,NA,NA,2373.1647243,NA,15.672336
Mauritius,MUS,2024,14952555414.8553,6.037499927814641,3.60452203847959,-48.89364751035135,NA,NA,NA,NA,NA,10.970635
Malawi,MWI,2019,11051865579.8121,11.86968821840146,9.3708360560567,-24.55151629970636,NA,NA,NA,NA,NA,NA
Malawi,MWI,2020,11769313597.8545,6.4916462552071525,8.62551469650552,-7.9536271373507965,0.907,4.241,4.241,NA,1.142,9.188704864
Malawi,MWI,2021,12378129750.9872,5.172911300822886,9.33014410835212,8.169128876820169,NA,11.333,15.574,86256.82427,1.299,105.30547494
Malawi,MWI,2022,12429060150.742,0.41145472522405024,20.953969729969,124.5835593387192,NA,14.054,29.628,235491.793887,1,16.043770422
Malawi,MWI,2023,12712150082.0792,2.2776455170691245,28.7897428247298,37.395172350343906,NA,NA,NA,91832.424335,NA,0.048617486
Malawi,MWI,2024,11008925322.5134,-13.398400338011283,32.1796504225026,11.774706076432668,NA,NA,NA,NA,NA,0
Malaysia,MYS,2019,365177721021.516,1.7806783531127044,0.662891865764397,-25.07234068465973,3.33,NA,NA,NA,NA,NA
Malaysia,MYS,2020,337456163961.211,-7.591250907300465,-1.13870215393055,-271.77796451273156,4.54,128.595,128.595,NA,1.97,13.344672515
Malaysia,MYS,2021,373784823672.946,10.765445587152112,2.47710241465446,-317.53734337851614,4.64,1117.783,1246.378,1652231.58773,2.159,894.179513802
Malaysia,MYS,2022,407605841348.235,9.04825865934078,3.37869862549933,36.39721173864493,3.93,560.013,1806.391,433328.537029,0.729,154.775141436
Malaysia,MYS,2023,399705137434.074,-1.9383196001381893,2.48886560125756,-26.336560992037693,NA,NA,NA,8567.7737819,NA,12.566473319
Malaysia,MYS,2024,421972102253.57,5.570847791059146,1.834100204499,-26.30778441502521,NA,NA,NA,311.08609557,NA,1.671686808
North America,NAC,2019,23291130648672.5,4.029016979082849,1.88073954968808,-20.1521623185688,NA,NA,NA,NA,NA,NA
North America,NAC,2020,23016677094000.2,-1.1783608052876708,0.97529201430705,-48.14316450840831,NA,NA,NA,7099.308865,NA,NA
North America,NAC,2021,25710839785423.2,11.70526345058424,4.04652602445637,314.90404566999837,NA,NA,NA,1382806.48969,NA,NA
North America,NAC,2022,28205178461134.3,9.701506043864311,7.40280048696865,82.94211978936124,NA,NA,NA,493827.15221,NA,NA
North America,NAC,2023,29902627912064.3,6.018219148193028,3.99766999081457,-45.99786934887984,NA,NA,NA,42210.827042,NA,NA
North America,NAC,2024,31435123430970.3,5.124952640994172,2.66555451883189,-33.3222971141559,NA,NA,NA,1569.46921886,NA,NA
Namibia,NAM,2019,12541928303.48,-8.332767017468576,3.72239414422697,-13.263074278794823,NA,NA,NA,NA,NA,NA
Namibia,NAM,2020,10583748541.5258,-15.61306774023628,2.20938236933471,-40.646200167673726,NA,82.665,82.665,NA,1.128,71.9805845
Namibia,NAM,2021,12402486183.6396,17.184248425573447,3.61690530108811,63.70662458835651,NA,262.001,344.666,222302.7499749,1.197,1189.4099814
Namibia,NAM,2022,12569449123.3661,1.346205407966865,6.08128114112416,68.13492847862693,NA,72.718,417.384,114958.745361,0.534,151.2284444
Namibia,NAM,2023,12408271447.8691,-1.282297051486345,5.87993463284272,-3.3109225442621124,NA,NA,NA,10870.391008,NA,7.2672705
Namibia,NAM,2024,13372354268.5446,7.76967867543761,4.23903922877039,-27.906694657913576,NA,NA,NA,NA,NA,2.4224235
